title,company,salary,location
,Knowde, 24000  - 40000 ,
,Objectivity, 14280  - 25200 ,
,Knowit Poland Sp. z o.o., 6000  - 11000 ,
,Solwit, 16000  - 22000 ,
,Link Group, 17000  - 19000 ,
,Solwit SA, 14000  - 18000 ,
,People Trust Sp. z o.o., 20000  - 27000 ,
,CEPD.TECH, 8000  - 11000 ,
,Green Minds Sp.z o.o., 23520  - 28560 ,
,Allegro, 12500  - 17000 ,
,ProService Finteco Sp. z o.o., 12800  - 18000 ,
,Ringier Axel Springer Tech, 12700  - 21100 ,
,ALM Services Technology Group, 17000  - 25000 ,
,Green Minds Sp.z o.o., 21840  - 25200 ,
,ALM Services Technology Group, 14000  - 25500 ,
,Pointpack, 13000  - 19000 ,
,Orca AG, 30539  - 41991 ,
,Sysnet Global Solutions, 12000  - 19000 ,
,PGS Software S.A., 15000  - 30000 ,
,Netguru, 16000  - 25000 ,
